"Artal","stod","col","variable","value"
"1999","A7","SR-De","N",532
"1999","A7","SR-Pr-mac","N",44
"1999","A7","SR-Pr-mei","N",44
"1999","A7","SR-Su","N",311
"1999","A7","SS-De","N",711
"1999","B5","EP-Su","N",1245
"1999","B5","SR-Ch-Om","N",178
"1999","B5","SR-De","N",5155
"1999","B5","SR-Pr-mei","N",44
"1999","B5","SS-De","N",4888
"1999","B5","SS-Pr-mac","N",356
"1999","B8","EP-Su","N",222
"1999","B8","SR-De","N",2532
"1999","B8","SR-He-mic","N",44
"1999","B8","SR-Pr-mac","N",89
"1999","B8","SR-Pr-mei","N",178
"1999","B8","SR-Su","N",933
"1999","B8","SS-De","N",2666
"1999","C4","EP-Pr-zoo","N",133
"1999","C4","EP-Su","N",1244
"1999","C4","SR-De","N",533
"1999","C4","SR-Dt","N",89
"1999","C4","SR-He-mic","N",178
"1999","C4","SR-Pr-mei","N",44
"1999","C4","SR-Su","N",222
"1999","C4","SS-De","N",2267
"1999","C4","SS-Pr-mac","N",44
"1999","E3","EP-Pr-zoo","N",356
"1999","E3","EP-Su","N",444
"1999","E3","SR-Ch-Om","N",178
"1999","E3","SR-De","N",7200
"1999","E3","SR-Dt","N",133
"1999","E3","SR-Pr-mac","N",133
"1999","E3","SR-Pr-mei","N",311
"1999","E3","SR-Su","N",400
"1999","E3","SS-De","N",2399
"1999","E3","SS-Pr-mac","N",44
"1999","E3","SS-Sc-mac","N",89
"1999","E4","SR-De","N",1288
"1999","E4","SR-He-mic","N",711
"1999","E4","SR-Pr-mac","N",44
"1999","E4","SR-Pr-mei","N",44
"1999","E4","SR-Su","N",89
"1999","E4","SS-De","N",531
"1999","E4","SS-Pr-mac","N",44
"2013","B5","SR-Pr-mei","N",67
"2013","B8","SR-Pr-mac","N",67
"2013","C4","SR-De","N",500
"2013","C4","SR-Pr-mac","N",435
"2013","C4","SS-De","N",92
"2013","E3","SR-De","N",1083
"2013","E3","SR-Pr-mac","N",367
"2013","E3","SR-Pr-mei","N",17
"2013","E3","SR-Su","N",8
"2013","E3","SS-De","N",50
"2014","A7","SR-De","N",33
"2014","A7","SR-Pr-mac","N",1099
"2014","B5","SR-De","N",516
"2014","B5","SR-He-mic","N",8
"2014","B5","SR-Pr-mac","N",608
"2014","B5","SR-Su","N",58
"2014","B5","SS-De","N",16
"2014","B5","SS-Pr-mac","N",16
"2014","B5","SS-Sc-mac","N",33
"2014","B8","EP-Su","N",33
"2014","B8","SR-He-mic","N",33
"2014","B8","SR-Pr-mac","N",233
"2014","C4","EP-Sp-fis","N",16
"2014","C4","SR-De","N",316
"2014","C4","SR-Pr-mac","N",966
"2014","C4","SR-Pr-mei","N",50
"2014","C4","SS-De","N",150
"2014","C4","SS-Sc-mac","N",66
"2014","E3","EP-Su","N",624
"2014","E3","SR-De","N",2064
"2014","E3","SR-He-mic","N",66
"2014","E3","SR-Om-mic","N",33
"2014","E3","SR-Pr-mac","N",1275
"2014","E3","SR-Pr-mei","N",8
"2014","E3","SR-Su","N",166
"2014","E3","SS-De","N",307
"2014","E3","SS-Pr-mac","N",8
"2014","E3","SS-Sc-mac","N",108
"2014","E4","EP-Sp-fis","N",33
"2014","E4","EP-Su","N",58
"2014","E4","SR-De","N",333
"2014","E4","SR-Pr-mac","N",459
"2014","E4","SR-Pr-mei","N",8
"2014","E4","SR-Su","N",75
"2014","E4","SS-De","N",92
"2014","E4","SS-Pr-mac","N",8
"2014","E4","SS-Sc-mac","N",33
"2015","A7","EP-Su","N",133
"2015","A7","SR-De","N",400
"2015","A7","SR-He-mic","N",33
"2015","A7","SR-Pr-mac","N",50
"2015","A7","SS-De","N",174
"2015","B5","EP-Su","N",299
"2015","B5","SR-De","N",1433
"2015","B5","SR-Pr-mac","N",82
"2015","B5","SS-De","N",1372
"2015","B5","SS-Pr-mac","N",33
"2015","B8","EP-Su","N",133
"2015","B8","SR-De","N",534
"2015","B8","SR-Pr-mac","N",50
"2015","B8","SS-De","N",333
"2015","C4","EP-Sp-fis","N",8
"2015","C4","EP-Su","N",266
"2015","C4","SR-De","N",1700
"2015","C4","SR-Pr-mac","N",450
"2015","C4","SR-Pr-mei","N",33
"2015","C4","SS-De","N",1999
"2015","C4","SS-Pr-mac","N",33
"2015","E3","EP-Pr-zoo","N",33
"2015","E3","EP-Su","N",482
"2015","E3","SR-De","N",1367
"2015","E3","SR-He-mic","N",133
"2015","E3","SR-Pr-mac","N",558
"2015","E3","SR-Pr-mei","N",33
"2015","E3","SR-Su","N",266
"2015","E3","SS-De","N",1198
"2015","E3","SS-Pr-mac","N",8
"2015","E3","SS-Sc-mac","N",134
"2015","E4","EP-Su","N",100
"2015","E4","SR-De","N",1131
"2015","E4","SR-Pr-mac","N",240
"2015","E4","SR-Su","N",33
"2015","E4","SS-De","N",467
"2015","E4","SS-Om-mic","N",33
"2015","E4","SS-Pr-mac","N",67
"2016","A7","EP-Su","N",332
"2016","A7","SR-De","N",864
"2016","A7","SR-Pr-mac","N",8
"2016","A7","SR-Su","N",66
"2016","A7","SS-De","N",3026
"2016","B5","EP-Su","N",33
"2016","B5","SR-De","N",1691
"2016","B5","SS-De","N",3382
"2016","B8","EP-Su","N",833
"2016","B8","SR-De","N",2140
"2016","B8","SR-Dt","N",33
"2016","B8","SR-Pr-mac","N",67
"2016","B8","SR-Pr-mei","N",333
"2016","B8","SS-De","N",2130
"2016","B8","SS-Pr-mac","N",141
"2016","C4","SR-De","N",2782
"2016","C4","SR-Pr-mac","N",333
"2016","C4","SR-Pr-mei","N",33
"2016","C4","SS-De","N",5016
"2016","C4","SS-Pr-mac","N",108
"2016","E3","EP-Su","N",33
"2016","E3","SR-De","N",4049
"2016","E3","SR-Om-mic","N",33
"2016","E3","SR-Pr-mac","N",74
"2016","E3","SR-Pr-mei","N",33
"2016","E3","SR-Su","N",200
"2016","E3","SS-De","N",2305
"2016","E3","SS-Sc-mac","N",67
"2016","E4","EP-Su","N",33
"2016","E4","SR-De","N",4533
"2016","E4","SR-Pr-mac","N",599
"2016","E4","SR-Pr-mei","N",41
"2016","E4","SR-Su","N",67
"2016","E4","SS-De","N",2723
"2016","E4","SS-Pr-mac","N",33
"2016","E4","SS-Sc-mac","N",100
"2017","A7","SR-Ch-Om","N",33
"2017","A7","SR-De","N",598
"2017","A7","SR-Pr-mac","N",133
"2017","A7","SR-Pr-mei","N",267
"2017","A7","SR-Su","N",66
"2017","A7","SS-De","N",2234
"2017","A7","SS-Pr-mac","N",33
"2017","B5","EP-Su","N",33
"2017","B5","SR-Ch-Om","N",166
"2017","B5","SR-De","N",1677
"2017","B5","SR-Pr-mac","N",108
"2017","B5","SR-Pr-mei","N",600
"2017","B5","SS-De","N",1699
"2017","B5","SS-Pr-mac","N",33
"2017","B8","EP-Su","N",166
"2017","B8","SR-De","N",1501
"2017","B8","SR-Pr-mei","N",567
"2017","B8","SR-Su","N",33
"2017","B8","SS-De","N",3008
"2017","B8","SS-Pr-mac","N",33
"2017","C4","EP-Sp-fis","N",33
"2017","C4","EP-Su","N",33
"2017","C4","SR-De","N",1950
"2017","C4","SR-Pr-mac","N",233
"2017","C4","SR-Pr-mei","N",300
"2017","C4","SR-Su","N",33
"2017","C4","SS-De","N",2790
"2017","C4","SS-Pr-mac","N",100
"2017","E3","EP-Pr-zoo","N",33
"2017","E3","EP-Su","N",108
"2017","E3","SR-Ch-Om","N",67
"2017","E3","SR-De","N",978
"2017","E3","SR-He-mac","N",66
"2017","E3","SR-He-mic","N",67
"2017","E3","SR-Pr-mac","N",292
"2017","E3","SR-Su","N",299
"2017","E3","SS-De","N",1347
"2017","E4","EP-Su","N",608
"2017","E4","SR-Ch-Om","N",200
"2017","E4","SR-De","N",1223
"2017","E4","SR-He-mic","N",67
"2017","E4","SR-Pr-mac","N",408
"2017","E4","SR-Pr-mei","N",333
"2017","E4","SR-Su","N",1767
"2017","E4","SS-De","N",2048
"2017","E4","SS-Pr-mac","N",66
"2017","E4","SS-Sc-mac","N",416
"1999","A7","SR-De","prop_N",0.323995127892814
"1999","A7","SR-Pr-mac","prop_N",0.0267965895249695
"1999","A7","SR-Pr-mei","prop_N",0.0267965895249695
"1999","A7","SR-Su","prop_N",0.189403166869671
"1999","A7","SS-De","prop_N",0.433008526187576
"1999","B5","EP-Su","prop_N",0.104921624810383
"1999","B5","SR-Ch-Om","prop_N",0.0150008427439744
"1999","B5","SR-De","prop_N",0.434434518793191
"1999","B5","SR-Pr-mei","prop_N",0.00370807348727457
"1999","B5","SS-De","prop_N",0.411933254677229
"1999","B5","SS-Pr-mac","prop_N",0.0300016854879488
"1999","B8","EP-Su","prop_N",0.0333133253301321
"1999","B8","SR-De","prop_N",0.379951980792317
"1999","B8","SR-He-mic","prop_N",0.00660264105642257
"1999","B8","SR-Pr-mac","prop_N",0.0133553421368547
"1999","B8","SR-Pr-mei","prop_N",0.0267106842737095
"1999","B8","SR-Su","prop_N",0.14000600240096
"1999","B8","SS-De","prop_N",0.400060024009604
"1999","C4","EP-Pr-zoo","prop_N",0.0279764408918805
"1999","C4","EP-Su","prop_N",0.26167437946992
"1999","C4","SR-De","prop_N",0.11211611274716
"1999","C4","SR-Dt","prop_N",0.0187210769877997
"1999","C4","SR-He-mic","prop_N",0.0374421539755995
"1999","C4","SR-Pr-mei","prop_N",0.00925536390408077
"1999","C4","SR-Su","prop_N",0.0466975178796803
"1999","C4","SS-De","prop_N",0.476861590239798
"1999","C4","SS-Pr-mac","prop_N",0.00925536390408077
"1999","E3","EP-Pr-zoo","prop_N",0.030461196200907
"1999","E3","EP-Su","prop_N",0.037990930093266
"1999","E3","SR-Ch-Om","prop_N",0.0152305981004535
"1999","E3","SR-De","prop_N",0.616069136647557
"1999","E3","SR-Dt","prop_N",0.0113801659964063
"1999","E3","SR-Pr-mac","prop_N",0.0113801659964063
"1999","E3","SR-Pr-mei","prop_N",0.0266107640968598
"1999","E3","SR-Su","prop_N",0.0342260631470865
"1999","E3","SS-De","prop_N",0.205270813724651
"1999","E3","SS-Pr-mac","prop_N",0.00376486694617952
"1999","E3","SS-Sc-mac","prop_N",0.00761529905022675
"1999","E4","SR-De","prop_N",0.468193384223919
"1999","E4","SR-He-mic","prop_N",0.25845147219193
"1999","E4","SR-Pr-mac","prop_N",0.0159941839331152
"1999","E4","SR-Pr-mei","prop_N",0.0159941839331152
"1999","E4","SR-Su","prop_N",0.0323518720465285
"1999","E4","SS-De","prop_N",0.193020719738277
"1999","E4","SS-Pr-mac","prop_N",0.0159941839331152
"2013","B5","SR-Pr-mei","prop_N",1
"2013","B8","SR-Pr-mac","prop_N",1
"2013","C4","SR-De","prop_N",0.486854917234664
"2013","C4","SR-Pr-mac","prop_N",0.423563777994158
"2013","C4","SS-De","prop_N",0.0895813047711782
"2013","E3","SR-De","prop_N",0.710163934426229
"2013","E3","SR-Pr-mac","prop_N",0.240655737704918
"2013","E3","SR-Pr-mei","prop_N",0.0111475409836066
"2013","E3","SR-Su","prop_N",0.00524590163934426
"2013","E3","SS-De","prop_N",0.0327868852459016
"2014","A7","SR-De","prop_N",0.0291519434628975
"2014","A7","SR-Pr-mac","prop_N",0.970848056537102
"2014","B5","SR-De","prop_N",0.411155378486056
"2014","B5","SR-He-mic","prop_N",0.00637450199203187
"2014","B5","SR-Pr-mac","prop_N",0.484462151394422
"2014","B5","SR-Su","prop_N",0.0462151394422311
"2014","B5","SS-De","prop_N",0.0127490039840637
"2014","B5","SS-Pr-mac","prop_N",0.0127490039840637
"2014","B5","SS-Sc-mac","prop_N",0.0262948207171315
"2014","B8","EP-Su","prop_N",0.110367892976589
"2014","B8","SR-He-mic","prop_N",0.110367892976589
"2014","B8","SR-Pr-mac","prop_N",0.779264214046823
"2014","C4","EP-Sp-fis","prop_N",0.010230179028133
"2014","C4","SR-De","prop_N",0.202046035805627
"2014","C4","SR-Pr-mac","prop_N",0.617647058823529
"2014","C4","SR-Pr-mei","prop_N",0.0319693094629156
"2014","C4","SS-De","prop_N",0.0959079283887468
"2014","C4","SS-Sc-mac","prop_N",0.0421994884910486
"2014","E3","EP-Su","prop_N",0.133934320669672
"2014","E3","SR-De","prop_N",0.443013522215068
"2014","E3","SR-He-mic","prop_N",0.0141661300708307
"2014","E3","SR-Om-mic","prop_N",0.00708306503541533
"2014","E3","SR-Pr-mac","prop_N",0.273663876368319
"2014","E3","SR-Pr-mei","prop_N",0.0017171066752522
"2014","E3","SR-Su","prop_N",0.0356299635114831
"2014","E3","SS-De","prop_N",0.0658939686628032
"2014","E3","SS-Pr-mac","prop_N",0.0017171066752522
"2014","E3","SS-Sc-mac","prop_N",0.0231809401159047
"2014","E4","EP-Sp-fis","prop_N",0.0300272975432211
"2014","E4","EP-Su","prop_N",0.0527752502274795
"2014","E4","SR-De","prop_N",0.303002729754322
"2014","E4","SR-Pr-mac","prop_N",0.417652411282985
"2014","E4","SR-Pr-mei","prop_N",0.00727934485896269
"2014","E4","SR-Su","prop_N",0.0682438580527752
"2014","E4","SS-De","prop_N",0.083712465878071
"2014","E4","SS-Pr-mac","prop_N",0.00727934485896269
"2014","E4","SS-Sc-mac","prop_N",0.0300272975432211
"2015","A7","EP-Su","prop_N",0.168354430379747
"2015","A7","SR-De","prop_N",0.506329113924051
"2015","A7","SR-He-mic","prop_N",0.0417721518987342
"2015","A7","SR-Pr-mac","prop_N",0.0632911392405063
"2015","A7","SS-De","prop_N",0.220253164556962
"2015","B5","EP-Su","prop_N",0.0928859894377136
"2015","B5","SR-De","prop_N",0.445169307238273
"2015","B5","SR-Pr-mac","prop_N",0.0254737496116806
"2015","B5","SS-De","prop_N",0.426219322771047
"2015","B5","SS-Pr-mac","prop_N",0.0102516309412861
"2015","B8","EP-Su","prop_N",0.126666666666667
"2015","B8","SR-De","prop_N",0.508571428571429
"2015","B8","SR-Pr-mac","prop_N",0.0476190476190476
"2015","B8","SS-De","prop_N",0.317142857142857
"2015","C4","EP-Sp-fis","prop_N",0.00178213410559145
"2015","C4","EP-Su","prop_N",0.0592559590109156
"2015","C4","SR-De","prop_N",0.378703497438182
"2015","C4","SR-Pr-mac","prop_N",0.100245043439519
"2015","C4","SR-Pr-mei","prop_N",0.00735130318556471
"2015","C4","SS-De","prop_N",0.445310759634662
"2015","C4","SS-Pr-mac","prop_N",0.00735130318556471
"2015","E3","EP-Pr-zoo","prop_N",0.00783475783475784
"2015","E3","EP-Su","prop_N",0.114434947768281
"2015","E3","SR-De","prop_N",0.324548907882241
"2015","E3","SR-He-mic","prop_N",0.0315764482431149
"2015","E3","SR-Pr-mac","prop_N",0.132478632478632
"2015","E3","SR-Pr-mei","prop_N",0.00783475783475784
"2015","E3","SR-Su","prop_N",0.0631528964862298
"2015","E3","SS-De","prop_N",0.284425451092118
"2015","E3","SS-Pr-mac","prop_N",0.00189933523266857
"2015","E3","SS-Sc-mac","prop_N",0.0318138651471985
"2015","E4","EP-Su","prop_N",0.0482858522452921
"2015","E4","SR-De","prop_N",0.546112988894254
"2015","E4","SR-Pr-mac","prop_N",0.115886045388701
"2015","E4","SR-Su","prop_N",0.0159343312409464
"2015","E4","SS-De","prop_N",0.225494929985514
"2015","E4","SS-Om-mic","prop_N",0.0159343312409464
"2015","E4","SS-Pr-mac","prop_N",0.0323515210043457
"2016","A7","EP-Su","prop_N",0.0772811918063315
"2016","A7","SR-De","prop_N",0.201117318435754
"2016","A7","SR-Pr-mac","prop_N",0.00186219739292365
"2016","A7","SR-Su","prop_N",0.0153631284916201
"2016","A7","SS-De","prop_N",0.704376163873371
"2016","B5","EP-Su","prop_N",0.00646298472385429
"2016","B5","SR-De","prop_N",0.331179005092049
"2016","B5","SS-De","prop_N",0.662358010184097
"2016","B8","EP-Su","prop_N",0.146732429099877
"2016","B8","SR-De","prop_N",0.376959661793201
"2016","B8","SR-Dt","prop_N",0.00581292936410076
"2016","B8","SR-Pr-mac","prop_N",0.0118020081028712
"2016","B8","SR-Pr-mei","prop_N",0.0586577417650167
"2016","B8","SS-De","prop_N",0.375198168046503
"2016","B8","SS-Pr-mac","prop_N",0.0248370618284305
"2016","C4","SR-De","prop_N",0.336315280464217
"2016","C4","SR-Pr-mac","prop_N",0.0402562862669246
"2016","C4","SR-Pr-mei","prop_N",0.00398936170212766
"2016","C4","SS-De","prop_N",0.606382978723404
"2016","C4","SS-Pr-mac","prop_N",0.0130560928433269
"2016","E3","EP-Su","prop_N",0.00485722696496909
"2016","E3","SR-De","prop_N",0.595967029732117
"2016","E3","SR-Om-mic","prop_N",0.00485722696496909
"2016","E3","SR-Pr-mac","prop_N",0.0108919634972034
"2016","E3","SR-Pr-mei","prop_N",0.00485722696496909
"2016","E3","SR-Su","prop_N",0.0294377391816309
"2016","E3","SS-De","prop_N",0.339269944068296
"2016","E3","SS-Sc-mac","prop_N",0.00986164262584634
"2016","E4","EP-Su","prop_N",0.0040595399188092
"2016","E4","SR-De","prop_N",0.557633165210973
"2016","E4","SR-Pr-mac","prop_N",0.0736868003444458
"2016","E4","SR-Pr-mei","prop_N",0.00504367080821749
"2016","E4","SR-Su","prop_N",0.00824209619879444
"2016","E4","SS-De","prop_N",0.334973551482347
"2016","E4","SS-Pr-mac","prop_N",0.0040595399188092
"2016","E4","SS-Sc-mac","prop_N",0.0123016361176036
"2017","A7","SR-Ch-Om","prop_N",0.00980975029726516
"2017","A7","SR-De","prop_N",0.177764565992866
"2017","A7","SR-Pr-mac","prop_N",0.0395362663495838
"2017","A7","SR-Pr-mei","prop_N",0.0793697978596908
"2017","A7","SR-Su","prop_N",0.0196195005945303
"2017","A7","SS-De","prop_N",0.664090368608799
"2017","A7","SS-Pr-mac","prop_N",0.00980975029726516
"2017","B5","EP-Su","prop_N",0.00764596848934198
"2017","B5","SR-Ch-Om","prop_N",0.0384615384615385
"2017","B5","SR-De","prop_N",0.38855421686747
"2017","B5","SR-Pr-mac","prop_N",0.0250231696014829
"2017","B5","SR-Pr-mei","prop_N",0.139017608897127
"2017","B5","SS-De","prop_N",0.393651529193698
"2017","B5","SS-Pr-mac","prop_N",0.00764596848934198
"2017","B8","EP-Su","prop_N",0.0312735493594574
"2017","B8","SR-De","prop_N",0.282780708364732
"2017","B8","SR-Pr-mei","prop_N",0.10681989449887
"2017","B8","SR-Su","prop_N",0.00621703089675961
"2017","B8","SS-De","prop_N",0.566691785983421
"2017","B8","SS-Pr-mac","prop_N",0.00621703089675961
"2017","C4","EP-Sp-fis","prop_N",0.00603070175438596
"2017","C4","EP-Su","prop_N",0.00603070175438596
"2017","C4","SR-De","prop_N",0.356359649122807
"2017","C4","SR-Pr-mac","prop_N",0.0425804093567251
"2017","C4","SR-Pr-mei","prop_N",0.0548245614035088
"2017","C4","SR-Su","prop_N",0.00603070175438596
"2017","C4","SS-De","prop_N",0.509868421052632
"2017","C4","SS-Pr-mac","prop_N",0.0182748538011696
"2017","E3","EP-Pr-zoo","prop_N",0.0101320233343568
"2017","E3","EP-Su","prop_N",0.0331593490942585
"2017","E3","SR-Ch-Om","prop_N",0.0205710776788456
"2017","E3","SR-De","prop_N",0.300276327909119
"2017","E3","SR-He-mac","prop_N",0.0202640466687135
"2017","E3","SR-He-mic","prop_N",0.0205710776788456
"2017","E3","SR-Pr-mac","prop_N",0.0896530549585508
"2017","E3","SR-Su","prop_N",0.091802272029475
"2017","E3","SS-De","prop_N",0.413570770647835
"2017","E4","EP-Su","prop_N",0.0852017937219731
"2017","E4","SR-Ch-Om","prop_N",0.0280269058295964
"2017","E4","SR-De","prop_N",0.171384529147982
"2017","E4","SR-He-mic","prop_N",0.0093890134529148
"2017","E4","SR-Pr-mac","prop_N",0.0571748878923767
"2017","E4","SR-Pr-mei","prop_N",0.046664798206278
"2017","E4","SR-Su","prop_N",0.247617713004484
"2017","E4","SS-De","prop_N",0.286995515695067
"2017","E4","SS-Pr-mac","prop_N",0.00924887892376682
"2017","E4","SS-Sc-mac","prop_N",0.0582959641255605
