"flokkun","matched_taxon_name","feeding_guild","N"
"Abra nitida","Semelidae","EP-Su",79
"Abra prismatica","Semelidae","EP-Su",1
"Acanthocardia echinata","Cardiidae","EP-Su",1
"Acanthocardia tuberculata","Cardiidae","EP-Su",1
"Acarina","Arachnida","SR-Pr-mei",3
"Ampharete","Ampharete","SR-De",1
"Ampharete acutifrons","Ampharete acutifrons","SR-De",16
"Ampharetidae","Ampharetidae","SR-De",3
"Ampharetinae","Ampharetidae","SR-De",10
"amphipoda","Amphipoda","SR-Om-mic",1
"Amphipoda","Amphipoda","SR-Om-mic",47
"Amphitrite cirrata","Amphitrite cirrata","SR-De",11
"Anthozoa","Anthozoa","SR-Pr-mac",1
"Apistobranchus tullbergi","Apistobranchus tullbergi","SR-De",18
"Arctica islandica","Bivalvia","EP-Su",54
"Arenicola marina","Arenicolidae","SR-De",5
"Aricidea","Aricidea","SR-De",2
"Aricidea (Acmira) cerrutii","Aricidea","SR-De",4
"Aricidea suecica","Aricidea","SR-De",47
"Astarte","Astarte","EP-Su",4
"Asteroidea","Asteroidea","SR-Pr-mac",2
"Balanus","Balanus","EP-Su",648
"Balanus balanus","Balanus balanus","EP-Su",1
"Bivalvia","Bivalvia","EP-Su",41
"Bryozoa","Bryozoa","EP-Su",3
"Buccinum undatum","Buccinum","SR-Pr-mac",3
"Campanulariidae","Campanulariidae","EP-Pr-zoo",1
"Capitella capitata","Capitellidae","SS-De",5812
"Capitellidae","Capitellidae","SS-De",6
"Caprella septentrionalis","Caprella","SR-He-mic",18
"Caprellidae","Caprellidae","SR-He-mic",2
"Cardiidae","Cardiidae","EP-Su",12
"Cardium","Cardiidae","EP-Su",1
"Chaetozone setosa","Chaetozone setosa","SR-De",423
"Ciliatocardium ciliatum ciliatum","Cardiidae","EP-Su",2
"Cirratulidae","Cirratulidae","SR-De",6
"Cirratulus cirratus","Cirratulus cirratus","SR-De",21
"Cistenides granulata","Henricia sanguinolenta","SR-Pr-mac",2
"Cistenides hyperborea","Nereis procera","SR-Om-mic",1
"Cossura longocirrata","Cossura longocirrata","SR-De",70
"Cossura pygodactylata","Cossura pygodactylata","SR-De",8
"Cossuridae","Cossura","SR-De",2
"Crassicorophium bonellii","Corophioidea","SR-Su",56
"Crenella","Mytilidae","EP-Su",2
"Crenella decussata","Crenella decussata","EP-Su",3
"Cumacea","Cumacea","EP-Su",3
"Dexamine thea","Amphipoda","SR-Om-mic",1
"Dodecaceria concharum","Dodecaceria concharum","EP-Su",9
"Dorvilleidae","Dorvilleidae","SR-Om-mic",1
"Ennucula tenuis","Ennucula tenuis","SS-De",104
"Eteone longa","Eteone","SR-Pr-mac",308
"Euchone","Euchone","EP-Su",4
"Eudorella emarginata","Eudorella emarginata","SR-He-mic",1
"Eunoe nodosa","Eunoe","SR-Pr-mac",19
"Flabelligera affinis","Flabelligera affinis","SR-De",2
"Galathowenia oculata","Galathowenia oculata","SR-De",3
"Gastropoda","Gastropoda","SR-He-mic",7
"Gattyana cirrhosa","Gattyana","SR-Pr-mac",1
"Gibbula tumida","Trochidae","SR-He-mac",1
"Glycera capitata","Glycera","SS-Pr-mac",1
"Harmothoe","Harmothoe","SR-Pr-mac",99
"Harmothoe extenuata","Harmothoe extenuata","SR-Pr-mac",8
"Harmothoe imbricata","Harmothoe imbricata","SR-Pr-mac",3
"harpacticoida","Harpacticoida","EP-Su",3
"Heteromastus filiformis","Heteromastus filiformis","SS-De",102
"Hiatella arctica","Hiatella arctica","EP-Su",19
"Kurtiella bidentata","Lasaeidae","EP-Su",3
"Lanassa venusta","Lanassa venusta","SR-De",36
"Laphania boecki","Laphania boecki","SR-De",2
"Leaena ebranchiata","Leaena","SR-De",1
"Leda","Nuculana","SR-De",4
"Leda pernula","Nuculana","SR-De",4
"Leucon acutirostris","Leucon","SR-He-mic",41
"Levinsenia gracilis","Levinsenia gracilis","SR-De",61
"Lumbrineridae","Lumbrineridae","SS-Pr-mei",1
"Lumbrineris","Lumbrineris","SS-Pr-mei",1
"Macoma calcarea","Macoma calcarea","SR-De",517
"Malacoceros fuliginosus","Malacoceros fuliginosus","SR-De",64
"Maldane sarsi","Maldane sarsi","SS-De",1
"Maldanidae","Maldanidae","SS-De",45
"Margarites groenlandicus","Margarites","SR-He-mac",1
"Mediomastus filiformis","Heteromastus","SS-De",11
"Mediomastus fragilis","Mediomastus","SS-De",202
"Microphthalmus aberrans","Microphthalmus","SR-He-mic",144
"Munna","Munna","SR-Dt",2
"Musculus","Musculus","EP-Su",2
"Musculus discors","Musculus discors","EP-Su",4
"Mya","Mya","EP-Su",29
"Mya arenaria","Mya arenaria","EP-Su",81
"Mya truncata","Mya truncata","EP-Su",1
"Myriochele oculata","Myriochele","SR-De",6
"Mytilidae","Mytilidae","EP-Su",111
"Mytilus edulis","Mytilus","EP-Su",67
"Naineris quadricuspida","Naineris","SS-De",6
"Naticidae","Naticidae","SS-Pr-mac",1
"Nephtyidae","Nephtyidae","SS-Pr-mac",4
"Nephtys","Nephtys","SS-Pr-mac",3
"Nepthys","Nephtys","SS-Pr-mac",18
"Nereimyra punctata","Hesionidae","SS-Pr-mei",1
"Nereis pelagica","Nereis pelagica","SR-Om-mic",1
"Nicolea zostericola","Nicolea zostericola","SR-De",1
"Notomastus latericeus","Notomastus latericeus","SS-De",1
"Nuculana minuta","Nuculana minuta","SR-De",6
"Nuculana pernula","Nuculana pernula","SR-De",15
"Nudibranchia","Nudibranchia","SR-Pr-mac",2
"Oligochaeta","Oligochaeta","SS-Om-mic",395
"Onoba aculeus","Monoculodes","SS-Pr-mei",7
"Onoba striata","Tiron biocellata","EP-Pr-zoo",1
"Ophelina acuminata","Ophelina acuminata","SS-De",716
"Ophiuroidea","Ophiuroidea","SR-Su",3
"Opisthobranchia","Opisthobranchia","SR-He-mic",1
"Orbiniidae","Orbiniidae","SS-De",1
"ostracoda","Ostracoda","SR-Dt",7
"Paraonidae","Paraonidae","SR-De",2
"Paroediceros lynceus","Oedicerotidae","SS-Pr-mei",11
"Parougia nigridentata","Dorvilleidae","SR-Om-mic",1
"Parvicardium minimum","Cardiidae","EP-Su",4
"Parvicardium pinnulatum","Cardiidae","EP-Su",4
"Pectinaria granulata","Pectinaria granulata","SS-De",31
"Pectinaria koreni","Pectinaria","SS-De",20
"Pectinariidae","Pectinaria","SS-De",1
"Pherusa plumosa","Pherusa plumosa","SR-De",1
"Philomedes globosus","Philomedes dentata","SR-Dt",5
"Pholoe","Pholoe","SS-Pr-mac",6
"Pholoe minuta","Pholoe minuta","SS-Pr-mac",6
"Phyllodoce maculata","Phyllodoce maculata","SS-Sc-mac",38
"Phyllodocida","Phyllodocidae","SR-Pr-mei",1
"Platyhelminthes","Platyhelminthes","SR-Om-mic",1
"Polychaeta","Polychaeta","SR-Om-mic",9
"Polydora","Polydora","SR-De",941
"Polynoidae","Polynoidae","SS-Pr-mac",15
"Polyplacophora","Polyplacophora","SR-Om-mic",1
"Praxillella","Praxillella","SS-De",1
"Praxillella praetermissa","Praxillella praetermissa","SS-De",119
"priapulidae","Pilargidae","SR-Pr-mei",1
"Priapulidae","Pilargidae","SR-Pr-mei",6
"Priapulus caudatus","Priapulus caudatus","SS-Pr-mac",17
"Protomedeia fasciata","Protomedeia fasciata","SR-Su",80
"Pseudopolydora antennata","Spionidae","SR-De",1
"Pseudopotamilla reniformis","Sabellidae","EP-Su",1
"Pycnogonida","Pycnogonida","SR-Pr-mac",1
"Retusa pertenuis","Cephalaspidea","SR-He-mic",3
"Sabellida","Sabellidae","EP-Su",2
"Sabellidae","Sabellidae","EP-Su",2
"scalibregma inflatum","Scalibregma","SS-De",6
"Scalibregma inflatum","Scalibregma inflatum","SS-De",294
"Schistomeringos nigridentata","Dorvilleidae","SR-Om-mic",22
"Scoloplos armiger","Scoloplos armiger","SS-De",288
"Serripes groenlandicus","Serripes groenlandicus","EP-Su",5
"Sipuncula","Sipuncula","SR-He-mac",1
"Sipunculida","Sipuncula","SR-He-mac",2
"Sipunculidae","Sipuncula","SR-He-mac",2
"Sipunculidea","Sipuncula","SR-He-mac",1
"Sphaerodoridae","Sphaerodoropsis","SR-Dt",1
"Sphaerodoropsis minuta","Sphaerodoropsis minuta","SR-Dt",1
"Sphaerosyllis","Sphaerosyllis","SR-He-mic",2
"Sphaerosyllis erinaceus","Sphaerosyllis","SR-He-mic",12
"Spio","Spio","SR-De",111
"Spio filicornis","Spio filicornis","SR-De",1
"Spionida","Spio","SR-De",6
"Spionidae","Spionidae","SR-De",737
"Sternaspis scutata","Pista cristata","SR-De",44
"Syllidae","Syllidae","SS-Pr-mei",3
"Syllis","Syllis","SR-Pr-mei",1
"Syllis cornuta","Syllis","SR-Pr-mei",13
"Syllis gracilis","Syllis gracilis","SR-Pr-mei",3
"Terebellidae","Terebellidae","SR-De",15
"Terebellides stroemi","Terebellides stroemi","SR-De",48
"Terebellides stroemii","Terebellides","SR-De",2
"Terebelliformia","Terebellidae","SR-De",1
"Thracia villosiuscula","Thracia","EP-Su",2
"Thyasira flexuosa","Thyasira flexuosa","SR-Ch-Om",18
"Tubificidae","Tubificidae","SS-De",168
"Tubificoides benedii","Tubificoides","SS-De",12
"Tubificoides kozloffi","Tubificoides","SS-De",79
"Tunicata","Nutricola tantilla","EP-Su",17
"Turbellaria","Turbellaria","SR-Om-mic",4
"Verruca stroemia","Tectura persona","SR-He-mic",1
"Yoldia hyperborea","Yoldia hyperborea","SS-De",5
